Category,Item,Runtime Limit,Current_Hours,Remaining_Hours,Life_Pct
ENGINE,Engine,300.0,41.7,258.3,86.1
ENGINE,Oil Service,,14.7,,
EXHAUST,Exhaust Manifold,,41.7,,
EXHAUST,Connecting Pipe (Bank 1-3),,41.7,,
EXHAUST,Connecting Pipe (Bank 4-6),,41.7,,
EXHAUST,Rear Silencer,,41.7,,
EXHAUST,Vibration Damper Elements,25.0,14.7,10.3,41.2
EXHAUST,Pre-Silencer (Bank 1-3),,41.7,,
EXHAUST,Pre-Silencer (Bank 4-6),,41.7,,
EXHAUST,Clamps and Brackets,20.0,14.7,5.300000000000001,26.5
GEARBOX,Gearbox Oil + Filter,30.0,5.6,24.4,81.33333333333333
GEARBOX,Gearbox,,41.7,,
GEARBOX,Electronic Shift Actuator,,41.7,,
CLUTCH,Clutch,,4.0,,
CLUTCH ACTUATOR,Actuator and Hoses,,41.7,,
"SUSPENSION, FRONT AXLE","Upright, Left",90.0,41.7,48.3,53.666666666666664
"SUSPENSION, FRONT AXLE","Upright, Right",90.0,41.7,48.3,53.666666666666664
"SUSPENSION, FRONT AXLE",Wheel Nut Detents (Front Axle),,41.7,,
"SUSPENSION, FRONT AXLE",Wheel Hubs (Front Axle),90.0,41.7,48.3,53.666666666666664
"SUSPENSION, FRONT AXLE",Wheel Bearings (Front Axle),90.0,41.7,48.3,53.666666666666664
"SUSPENSION, FRONT AXLE","Camber Bracket, Left",120.0,41.7,78.3,65.25
"SUSPENSION, FRONT AXLE","Camber Bracket, Right",120.0,41.7,78.3,65.25
"SUSPENSION, FRONT AXLE",Cross Member (Front Axle),90.0,41.7,48.3,53.666666666666664
"SUSPENSION, FRONT AXLE",Suspension Damper Set 1(Front Axle - FD04),90.0,41.7,48.3,53.666666666666664
"SUSPENSION, FRONT AXLE",Suspension Damper Set 2 (Front Axle - FD04),90.0,0.0,90.0,100.0
"SUSPENSION, FRONT AXLE","Wishbone Bracket, Top (Front Axle)",90.0,41.7,48.3,53.666666666666664
"SUSPENSION, FRONT AXLE","Upper Wishbone, Left (Front Axle)",90.0,41.7,48.3,53.666666666666664
"SUSPENSION, FRONT AXLE",Upper Wishbone. Right (Front Axle),90.0,41.7,48.3,53.666666666666664
"SUSPENSION, FRONT AXLE","Lower Wishbone, Left (Front Axle)",90.0,41.7,48.3,53.666666666666664
"SUSPENSION, FRONT AXLE","Lower Wishbone, Right (Front Axle)",90.0,41.7,48.3,53.666666666666664
"SUSPENSION, FRONT AXLE","Lower Trailing Arm, Left (Front Axle) - A",45.0,41.7,3.299999999999997,7.333333333333327
"SUSPENSION, FRONT AXLE","Lower Trailing Arm, Left (Front Axle) - B",90.0,41.7,48.3,53.666666666666664
"SUSPENSION, FRONT AXLE","Lower Trailing Arm, Right (Front Axle) - A",135.0,41.7,93.3,69.11111111111111
"SUSPENSION, FRONT AXLE","Lower Trailing Arm, Right (Front Axle) - B",180.0,41.7,138.3,76.83333333333334
"SUSPENSION, FRONT AXLE",Main Springs,120.0,41.7,78.3,65.25
"SUSPENSION, REAR AXLE","Upright, Left",90.0,41.7,48.3,53.666666666666664
"SUSPENSION, REAR AXLE","Upright, Right",90.0,41.7,48.3,53.666666666666664
"SUSPENSION, REAR AXLE",Wheel Nut Detents (Rear Axle),,41.7,,
"SUSPENSION, REAR AXLE","Wheel Hub, Left",90.0,41.7,48.3,53.666666666666664
"SUSPENSION, REAR AXLE","Wheel Hub, Right",90.0,41.7,48.3,53.666666666666664
"SUSPENSION, REAR AXLE","Wheel Bearing, Left",90.0,41.7,48.3,53.666666666666664
"SUSPENSION, REAR AXLE","Wheel Bearing, Right",90.0,41.7,48.3,53.666666666666664
"SUSPENSION, REAR AXLE",Suspension Damper Set 1 (Rear Axle - RD02),90.0,41.7,48.3,53.666666666666664
"SUSPENSION, REAR AXLE",Suspension Damper Set 2 (Rear Axle - RD02),90.0,0.0,90.0,100.0
"SUSPENSION, REAR AXLE","Side Panel, Left",90.0,41.7,48.3,53.666666666666664
